Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,200.0,200.0,200.0,200.0
150.0,200.0,200.0,200.0,200.0
300.0,200.0,200.0,200.0,200.0
450.0,200.0,200.0,200.0,200.0
600.0,200.0,200.0,200.0,200.0
750.0,200.0,200.0,200.0,200.0
900.0,200.0,200.0,200.0,200.0
1050.0,200.0,200.0,200.0,200.0
1200.0,200.0,200.0,200.0,200.0
1350.0,200.0,200.0,200.0,200.0
1500.0,200.0,200.83,200.13,200.83333333333334
1650.0,200.0,201.67,200.31,201.66666666666666
1800.0,200.0,202.5,200.52,202.5
1950.0,200.0,203.33,200.74,203.33333333333334
2100.0,200.01,204.17,200.98,204.16666666666666
2250.0,200.02,205.0,201.24,205.0
2400.0,200.03,205.83,201.51,205.83333333333334
2550.0,200.06,206.67,201.79,206.66666666666666
2700.0,200.09,207.5,202.09,207.5
2850.0,200.14,208.33,202.39,208.33333333333334
3000.0,200.2,209.17,202.71,209.16666666666666
3150.0,200.26,210.0,203.03,210.0
3300.0,200.35,210.0,203.23,210.0
3450.0,200.44,210.0,203.4,210.0
3600.0,200.54,210.0,203.55,210.0
3750.0,200.66,210.0,203.68,210.0
3900.0,200.79,210.0,203.81,210.0
4050.0,200.92,210.0,203.93,210.0
4200.0,201.06,210.0,204.05,210.0
4350.0,201.2,210.0,204.16,210.0
4500.0,201.34,210.0,204.27,210.0
4650.0,201.48,210.0,204.38,210.0
4800.0,201.63,210.0,204.48,210.0
4950.0,201.77,210.0,204.58,210.0
5100.0,201.91,210.0,204.67,210.0
5250.0,202.05,210.0,204.77,210.0
5400.0,202.19,210.0,204.86,210.0
5550.0,202.32,210.0,204.96,210.0
5700.0,202.46,210.0,205.04,210.0
5850.0,202.59,210.0,205.13,210.0
6000.0,202.72,210.0,205.22,210.0
6150.0,202.85,210.0,205.3,210.0
6300.0,202.98,210.0,205.39,210.0
6450.0,203.1,210.0,205.47,210.0
6600.0,203.22,210.0,205.55,210.0
6750.0,203.34,210.0,205.63,210.0
6900.0,203.46,210.0,205.71,210.0
7050.0,203.58,210.0,205.78,210.0
7200.0,203.69,210.0,205.86,210.0
7350.0,203.8,210.0,205.93,210.0
7500.0,203.91,210.0,206.0,210.0
7650.0,204.02,210.0,206.07,210.0
7800.0,204.12,210.0,206.14,210.0
7950.0,204.23,210.0,206.21,210.0
8100.0,204.33,210.0,206.28,210.0
8250.0,204.43,210.0,206.34,210.0
8400.0,204.53,210.0,206.41,210.0
8550.0,204.63,210.0,206.47,210.0
8700.0,204.72,209.17,206.4,209.16666666666666
8850.0,204.81,208.33,206.28,208.33333333333334
9000.0,204.91,207.5,206.14,207.5
9150.0,204.99,206.67,205.97,206.66666666666666
9300.0,205.08,205.83,205.79,205.83333333333334
9450.0,205.16,205.0,205.59,205.0
9600.0,205.22,204.17,205.38,204.16666666666666
9750.0,205.28,203.33,205.15,203.33333333333334
9900.0,205.33,202.5,204.91,202.5
10050.0,205.37,201.67,204.66,201.66666666666666
10200.0,205.39,200.83,204.4,200.83333333333334
10350.0,205.4,200.0,204.12,200.0
10500.0,205.39,200.0,203.97,200.0
10650.0,205.37,200.0,203.85,200.0
10800.0,205.34,200.0,203.75,200.0
10950.0,205.3,200.0,203.67,200.0
11100.0,205.25,200.0,203.58,200.0
11250.0,205.18,200.0,203.51,200.0
11400.0,205.12,200.0,203.44,200.0
11550.0,205.04,200.0,203.37,200.0
11700.0,204.97,200.0,203.3,200.0
11850.0,204.89,200.0,203.24,200.0
12000.0,204.81,200.0,203.18,200.0
12150.0,204.73,200.0,203.12,200.0
12300.0,204.65,200.0,203.07,200.0
12450.0,204.57,200.0,203.01,200.0
12600.0,204.49,200.0,202.96,200.0
12750.0,204.41,200.0,202.9,200.0
12900.0,204.34,200.0,202.85,200.0
13050.0,204.26,200.0,202.8,200.0
13200.0,204.19,200.0,202.75,200.0
13350.0,204.11,200.0,202.7,200.0
13500.0,204.04,200.0,202.65,200.0
13650.0,203.97,200.0,202.61,200.0
13800.0,203.9,200.0,202.56,200.0
13950.0,203.83,200.0,202.52,200.0
14100.0,203.76,200.0,202.47,200.0
14250.0,203.7,200.0,202.43,200.0
14400.0,203.63,200.0,202.38,200.0
14550.0,203.57,200.0,202.34,200.0
14700.0,203.5,200.0,202.3,200.0
14850.0,203.44,200.0,202.26,200.0
15000.0,203.38,200.0,202.22,200.0
15150.0,203.32,200.0,202.18,200.0
15300.0,203.26,200.0,202.14,200.0
15450.0,203.21,200.0,202.1,200.0
15600.0,203.15,200.0,202.07,200.0
15750.0,203.09,200.0,202.03,200.0
