Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,295.0,295.0,295.0,295.0
150.0,295.0,295.0,295.0,295.0
300.0,295.0,295.0,295.0,295.0
450.0,295.0,295.0,295.0,295.0
600.0,295.0,295.0,295.0,295.0
750.0,295.0,295.0,295.0,295.0
900.0,295.0,295.0,295.0,295.0
1050.0,295.0,295.0,295.0,295.0
1200.0,295.0,295.0,295.0,295.0
1350.0,295.0,295.0,295.0,295.0
1500.0,295.0,303.74,296.42,303.75
1650.0,295.0,312.49,298.26,312.5
1800.0,295.0,321.23,300.37,321.25
1950.0,295.01,329.98,302.68,330.0
2100.0,295.04,338.73,305.16,338.75
2250.0,295.11,347.48,307.75,347.5
2400.0,295.23,356.23,310.48,356.25
2550.0,295.42,364.97,313.34,365.0
2700.0,295.69,373.72,316.31,373.75
2850.0,296.05,382.47,319.39,382.5
3000.0,296.51,391.22,322.51,391.25
3150.0,297.08,399.97,325.73,400.0
3300.0,297.75,399.97,327.65,400.0
3450.0,298.52,399.98,329.26,400.0
3600.0,299.4,399.98,330.7,400.0
3750.0,300.39,399.98,332.02,400.0
3900.0,301.46,399.98,333.26,400.0
4050.0,302.61,399.98,334.44,400.0
4200.0,303.82,399.98,335.56,400.0
4350.0,305.07,399.98,336.64,400.0
4500.0,306.36,399.98,337.68,400.0
4650.0,307.66,399.98,338.7,400.0
4800.0,308.97,399.98,339.68,400.0
4950.0,310.29,399.98,340.64,400.0
5100.0,311.6,399.98,341.58,400.0
5250.0,312.91,399.98,342.49,400.0
5400.0,314.21,399.98,343.39,400.0
5550.0,315.5,399.98,344.28,400.0
5700.0,316.77,399.98,345.14,400.0
5850.0,318.03,399.98,345.99,400.0
6000.0,319.28,399.98,346.83,400.0
6150.0,320.51,399.98,347.65,400.0
6300.0,321.72,399.98,348.46,400.0
6450.0,322.92,399.98,349.25,400.0
6600.0,324.1,399.98,350.04,400.0
6750.0,325.26,399.98,350.8,400.0
6900.0,326.41,399.98,351.56,400.0
7050.0,327.54,399.99,352.31,400.0
7200.0,328.65,399.99,353.04,400.0
7350.0,329.75,399.99,353.76,400.0
7500.0,330.83,399.99,354.48,400.0
7650.0,331.89,399.99,355.18,400.0
7800.0,332.93,399.99,355.87,400.0
7950.0,333.97,399.99,356.54,400.0
8100.0,334.98,399.99,357.21,400.0
8250.0,335.98,399.99,357.87,400.0
8400.0,336.96,399.99,358.52,400.0
8550.0,337.89,399.99,359.14,400.0
8700.0,338.79,391.25,358.36,391.25
8850.0,339.69,382.5,357.16,382.5
9000.0,340.56,373.75,355.7,373.75
9150.0,341.43,365.01,354.03,365.0
9300.0,342.26,356.26,352.19,356.25
9450.0,343.05,347.51,350.18,347.5
9600.0,343.78,338.76,348.04,338.75
9750.0,344.45,330.01,345.76,330.0
9900.0,345.03,321.27,343.37,321.25
10050.0,345.53,312.52,340.87,312.5
10200.0,345.92,303.77,338.21,303.75
10350.0,346.21,295.02,335.46,295.0
10500.0,346.38,295.02,334.02,295.0
10650.0,346.44,295.01,332.91,295.0
10800.0,346.39,295.01,331.96,295.0
10950.0,346.22,295.01,331.12,295.0
11100.0,345.94,295.01,330.36,295.0
11250.0,345.57,295.01,329.67,295.0
11400.0,345.13,295.01,329.02,295.0
11550.0,344.63,295.01,328.41,295.0
11700.0,344.08,295.01,327.83,295.0
11850.0,343.5,295.01,327.28,295.0
12000.0,342.9,295.01,326.74,295.0
12150.0,342.27,295.01,326.23,295.0
12300.0,341.64,295.01,325.73,295.0
12450.0,341.0,295.01,325.25,295.0
12600.0,340.36,295.01,324.77,295.0
12750.0,339.71,295.01,324.31,295.0
12900.0,339.07,295.01,323.86,295.0
13050.0,338.43,295.01,323.42,295.0
13200.0,337.79,295.01,322.99,295.0
13350.0,337.16,295.01,322.56,295.0
13500.0,336.54,295.01,322.14,295.0
13650.0,335.93,295.01,321.73,295.0
13800.0,335.32,295.01,321.33,295.0
13950.0,334.72,295.01,320.93,295.0
14100.0,334.12,295.01,320.54,295.0
14250.0,333.54,295.01,320.15,295.0
14400.0,332.96,295.01,319.77,295.0
14550.0,332.39,295.01,319.4,295.0
14700.0,331.83,295.01,319.03,295.0
14850.0,331.28,295.01,318.67,295.0
15000.0,330.74,295.01,318.32,295.0
15150.0,330.2,295.01,317.97,295.0
15300.0,329.67,295.01,317.62,295.0
15450.0,329.15,295.01,317.28,295.0
15600.0,328.64,295.01,316.95,295.0
15750.0,328.13,295.01,316.62,295.0
