Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,299.65277439846375,299.65277439846375,299.65277439846375,299.65277439846375
150.0,299.65277439846375,299.65277439846375,299.65277439846375,299.65277439846375
300.0,299.65277439846375,299.65277439846375,299.65277439846375,299.65277439846375
450.0,299.65277439846375,299.65277439846375,299.65277439846375,299.65277439846375
600.0,299.65277439846375,299.65277439846375,299.65277439846375,299.65277439846375
750.0,299.65277439846375,299.65277439846375,299.65277439846375,299.65277439846375
900.0,299.65277439846375,299.65277439846375,299.65277439846375,299.65277439846375
1050.0,299.65277439846375,299.65277439846375,299.65277439846375,299.65277439846375
1200.0,299.65277439846375,299.65277439846375,299.65277439846375,299.65277439846375
1350.0,299.65277439846375,299.65277439846375,299.65277439846375,299.65277439846375
1500.0,299.65,299.99,299.71,300.00125748046264
1650.0,299.65,300.39,299.79,300.4141938590014
1800.0,299.65,300.87,299.89,300.900250905033
1950.0,299.65,301.43,300.03,301.4680959895103
2100.0,299.65,302.14,300.2,302.1911013625528
2250.0,299.65,302.98,300.41,303.0443755608684
2400.0,299.66,303.97,300.67,304.0443672223565
2550.0,299.67,305.11,300.98,305.2075249849163
2700.0,299.68,306.55,301.36,306.6751190964334
2850.0,299.7,308.24,301.81,308.3929431083977
3000.0,299.73,310.21,302.34,310.3884120791812
3150.0,299.77,312.48,302.98,312.68894106715607
3300.0,299.82,315.29,303.75,315.5394078012236
3450.0,299.88,318.52,304.65,318.82257160160293
3600.0,299.96,322.21,305.7,322.57162198303274
3750.0,300.06,326.41,306.91,326.8197484602521
3900.0,300.19,331.42,308.34,331.9065441440217
4050.0,300.34,337.03,309.97,337.59692489861106
4200.0,300.52,343.24,311.82,343.8997484631707
4350.0,300.74,350.1,313.86,350.82387257685116
4500.0,301.01,357.83,316.18,358.6491531969838
4650.0,301.32,366.08,318.73,367.0074579390522
4800.0,301.69,374.82,321.51,375.8397890878721
4950.0,302.12,383.97,324.51,385.08714892825884
5100.0,302.62,393.52,327.67,394.7132705089796
5250.0,303.2,403.12,330.96,404.3999889372258
5400.0,303.86,412.69,334.39,414.0476931803669
5550.0,304.61,422.12,337.92,423.55677220577184
5700.0,305.46,431.09,341.48,432.58394778042015
5850.0,306.41,439.63,344.99,441.1436198850754
6000.0,307.45,447.64,348.48,449.18664092602245
6150.0,308.6,455.08,351.91,456.6638633095463
6300.0,309.86,461.63,355.25,463.2199037809572
6450.0,311.22,467.57,358.5,469.1576899629845
6600.0,312.69,472.91,361.64,474.4920692430162
6750.0,314.25,477.65,364.67,479.23788900844073
6900.0,315.89,481.62,367.55,483.17868101983674
7050.0,317.62,485.11,370.3,486.64629329862134
7200.0,319.42,488.16,372.93,489.67417987312507
7350.0,321.28,490.8,375.45,492.29579477167874
7500.0,323.22,492.93,377.85,494.4050087051094
7650.0,325.21,494.78,380.16,496.2317019000629
7800.0,327.24,496.38,382.38,497.8018154709875
7950.0,329.33,497.73,384.51,499.14129053233165
8100.0,331.44,498.81,386.56,500.20121549584843
8250.0,333.58,499.75,388.55,501.11175306330694
8400.0,335.75,500.55,390.47,501.8881003685585
8550.0,337.93,501.23,392.33,502.5454545454545
8700.0,340.11,500.64,393.96,501.8881003685585
8850.0,342.3,499.9,395.47,501.11175306330694
9000.0,344.5,499.03,396.9,500.20121549584843
9150.0,346.68,498.0,398.23,499.14129053233165
9300.0,348.86,496.71,399.47,497.8018154709875
9450.0,351.02,495.19,400.61,496.2317019000629
9600.0,353.15,493.41,401.64,494.4050087051094
9750.0,355.27,491.34,402.56,492.29579477167874
9900.0,357.31,488.78,403.33,489.67417987312507
10050.0,359.25,485.81,403.96,486.64629329862134
10200.0,361.16,482.42,404.42,483.17868101983674
10350.0,363.04,478.54,404.7,479.23788900844073
10500.0,364.89,473.88,404.75,474.4920692430162
10650.0,366.69,468.64,404.59,469.1576899629845
10800.0,368.45,462.8,404.21,463.2199037809572
10950.0,370.16,456.32,403.59,456.6638633095463
11100.0,371.82,448.95,402.7,449.18664092602245
11250.0,373.4,441.03,401.56,441.1436198850754
11400.0,374.9,432.58,400.17,432.58394778042015
11550.0,376.34,423.66,398.55,423.55677220577184
11700.0,377.7,414.26,396.7,414.0476931803669
11850.0,378.98,404.72,394.67,404.3999889372259
12000.0,380.16,395.12,392.48,394.7132705089796
12150.0,381.24,385.59,390.17,385.08714892825884
12300.0,382.22,376.41,387.8,375.8397890878721
12450.0,383.09,367.64,385.38,367.0074579390522
12600.0,383.84,359.33,382.96,358.6491531969838
12750.0,384.48,351.56,380.53,350.82387257685116
12900.0,384.99,344.66,378.19,343.8997484631707
13050.0,385.38,338.37,375.92,337.59692489861106
13200.0,385.64,332.69,373.74,331.9065441440217
13350.0,385.79,327.63,371.67,326.8197484602521
13500.0,385.81,323.38,369.73,322.57162198303274
13650.0,385.72,319.62,367.9,318.82257160160293
13800.0,385.52,316.32,366.16,315.5394078012236
13950.0,385.22,313.47,364.54,312.68894106715607
14100.0,384.82,311.15,363.02,310.3884120791812
14250.0,384.34,309.16,361.54,308.3929431083977
14400.0,383.78,307.43,360.15,306.6751190964334
14550.0,383.14,305.95,358.84,305.2075249849163
14700.0,382.44,304.77,357.62,304.0443672223565
14850.0,381.67,303.76,356.45,303.0443755608684
15000.0,380.86,302.89,355.35,302.1911013625528
15150.0,380.01,302.16,354.3,301.4680959895103
15300.0,379.12,301.57,353.3,300.900250905033
15450.0,378.2,301.07,352.34,300.4141938590014
15600.0,377.26,300.65,351.41,300.00125748046264
15750.0,376.3,300.29,350.52,299.65277439846375
