Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,257.0,257.0,257.0,257.0
150.0,257.0,257.0,257.0,257.0
300.0,257.0,257.0,257.0,257.0
450.0,257.0,257.0,257.0,257.0
600.0,257.0,257.0,257.0,257.0
750.0,257.0,257.0,257.0,257.0
900.0,257.0,257.0,257.0,257.0
1050.0,257.0,257.0,257.0,257.0
1200.0,257.0,257.0,257.0,257.0
1350.0,257.0,257.0,257.0,257.0
1500.0,257.0,261.38,257.24,261.38038721300063
1650.0,257.0,264.96,257.57,264.96389995122723
1800.0,257.0,268.42,257.96,268.4159461815104
1950.0,257.0,271.65,258.39,271.6468146569171
2100.0,257.0,274.77,258.85,274.76709425488565
2250.0,257.0,277.89,259.34,277.8873738528542
2400.0,257.0,280.94,259.86,280.9390466247282
2550.0,257.0,283.85,260.39,283.85350574441304
2700.0,257.0,286.77,260.95,286.76796486409796
2850.0,257.0,289.68,261.52,289.6824239837828
3000.0,257.0,292.47,262.11,292.47078412436355
3150.0,257.01,295.26,262.71,295.25914426494427
3300.0,257.02,298.05,263.33,298.047504405525
3450.0,257.02,300.76,263.96,300.7525073883692
3600.0,257.04,303.42,264.6,303.4158317923451
3750.0,257.05,306.08,265.25,306.07915619632104
3900.0,257.08,308.74,265.92,308.742480600297
4050.0,257.1,311.4,266.6,311.4058050042729
4200.0,257.14,314.07,267.29,314.06912940824884
4350.0,257.18,316.73,267.99,316.7324538122248
4500.0,257.23,319.28,268.7,319.2805450032535
4650.0,257.28,321.83,269.42,321.82863619428224
4800.0,257.35,324.38,270.14,324.37672738531097
4950.0,257.42,326.92,270.88,326.9248185763397
5100.0,257.5,329.47,271.63,329.4729097673685
5250.0,257.59,332.02,272.38,332.0210009583972
5400.0,257.69,334.54,273.15,334.5416271113679
5550.0,257.8,337.01,273.92,337.00732318822264
5700.0,257.92,339.47,274.7,339.47301926507737
5850.0,258.05,341.94,275.49,341.9387153419321
6000.0,258.19,344.41,276.28,344.4044114187868
6150.0,258.35,346.87,277.09,346.87010749564155
6300.0,258.51,349.34,277.9,349.3358035724963
6450.0,258.68,351.76,278.72,351.7590110169003
6600.0,258.86,354.16,279.54,354.1609741450789
6750.0,259.06,356.56,280.37,356.56293727325755
6900.0,259.27,358.97,281.21,358.9649004014362
7050.0,259.48,361.37,282.06,361.3668635296149
7200.0,259.71,363.77,282.91,363.7688266577935
7350.0,259.95,366.17,283.77,366.17078978597215
7500.0,260.2,368.52,284.64,368.52101605720145
7650.0,260.46,370.87,285.51,370.87124232843075
7800.0,260.73,373.22,286.39,373.22146859966
7950.0,261.02,375.57,287.27,375.5716948708893
8100.0,261.31,377.92,288.16,377.9219211421186
8250.0,261.62,380.27,289.06,380.27214741334785
8400.0,261.93,382.61,289.97,382.61332445365457
8550.0,262.26,384.94,290.88,384.93640303211606
8700.0,262.6,380.55,291.44,380.5560158191155
8850.0,262.94,376.97,291.83,376.9725030808889
9000.0,263.3,373.52,292.12,373.5204568506057
9150.0,263.67,370.32,292.34,370.31993509973773
9300.0,264.05,367.24,292.52,367.2451755885774
9450.0,264.44,364.17,292.64,364.17041607741703
9600.0,264.84,361.1,292.72,361.0956565662567
9750.0,265.25,358.02,292.75,358.0208970550963
9900.0,265.67,355.22,292.76,355.2173132840667
10050.0,266.1,352.41,292.74,352.4137295130371
10200.0,266.54,349.61,292.69,349.6101457420075
10350.0,266.99,346.81,292.61,346.80656197097784
10500.0,267.44,344.0,292.51,344.0029781999482
10650.0,267.89,341.2,292.39,341.1993944289186
10800.0,268.35,338.45,292.24,338.4515274283604
10950.0,268.81,335.81,292.07,335.81509396874503
11100.0,269.28,333.18,291.89,333.17866050912966
11250.0,269.74,330.54,291.69,330.5422270495143
11400.0,270.21,327.9,291.48,327.90579358989885
11550.0,270.67,325.27,291.24,325.2693601302835
11700.0,271.13,322.63,290.99,322.6329266706681
11850.0,271.58,320.06,290.72,320.06770533386407
12000.0,272.03,317.54,290.44,317.5380900584657
12150.0,272.47,315.01,290.15,315.0084747830673
12300.0,272.91,312.48,289.85,312.4788595076689
12450.0,273.34,309.95,289.53,309.94924423227053
12600.0,273.76,307.42,289.2,307.41962895687215
12750.0,274.17,304.89,288.85,304.89001368147376
12900.0,274.57,302.44,288.5,302.4382792213944
13050.0,274.97,299.99,288.13,299.98654476131503
13200.0,275.35,297.54,287.76,297.53481030123567
13350.0,275.72,295.09,287.37,295.0830758411563
13500.0,276.08,292.64,286.97,292.6313413810769
13650.0,276.44,290.18,286.56,290.1796069209975
13800.0,276.78,287.75,286.14,287.74363308148804
13950.0,277.1,285.34,285.7,285.3391804831183
14100.0,277.42,282.94,285.26,282.93472788474855
14250.0,277.72,280.53,284.81,280.5302752863788
14400.0,278.02,278.15,284.35,278.15312328412796
14550.0,278.3,275.78,283.89,275.7759712818771
14700.0,278.56,273.4,283.41,273.3988192796263
14850.0,278.82,271.04,282.92,271.03821402374035
15000.0,279.06,268.69,282.42,268.68588214103687
15150.0,279.29,266.34,281.92,266.3335502583334
15300.0,279.51,263.99,281.41,263.9884367715437
15450.0,279.71,261.66,280.88,261.6577600765817
15600.0,279.91,259.33,280.35,259.32708338161973
15750.0,280.08,257.0,279.81,257.0
