Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,222.0,222.0,222.0,222.0
150.0,222.0,222.0,222.0,222.0
300.0,222.0,222.0,222.0,222.0
450.0,222.0,222.0,222.0,222.0
600.0,222.0,222.0,222.0,222.0
750.0,222.0,222.0,222.0,222.0
900.0,222.0,222.0,222.0,222.0
1050.0,222.0,222.0,222.0,222.0
1200.0,222.0,222.0,222.0,222.0
1350.0,222.0,222.0,222.0,222.0
1500.0,222.0,254.99,225.36,255.935168235324
1650.0,222.0,266.32,228.02,267.2259124376881
1800.0,222.01,275.67,230.46,276.63182597571426
1950.0,222.07,282.85,232.82,283.77886795733974
2100.0,222.21,288.85,235.03,289.7964741607649
2250.0,222.47,294.83,237.22,295.8140803641901
2400.0,222.85,300.33,239.41,301.3081829489732
2550.0,223.36,304.76,241.5,305.7552782964722
2700.0,223.99,309.19,243.56,310.2023736439712
2850.0,224.74,313.64,245.59,314.6494689914702
3000.0,225.59,317.31,247.53,318.30949477358087
3150.0,226.54,320.95,249.46,321.96952055569153
3300.0,227.57,324.6,251.4,325.62954633780225
3450.0,228.67,327.82,253.32,328.84664698906374
3600.0,229.84,330.81,255.21,331.84228507490064
3750.0,231.08,333.79,257.09,334.83792316073755
3900.0,232.36,336.78,258.98,337.83356124657445
4050.0,233.7,339.77,260.87,340.8291993324114
4200.0,235.08,342.75,262.78,343.8248374182483
4350.0,236.5,345.73,264.69,346.8204755040852
4500.0,237.96,348.21,266.57,349.285930317012
4650.0,239.45,350.67,268.45,351.75138512993885
4800.0,240.97,353.13,270.31,354.21683994286565
4950.0,242.52,355.59,272.18,356.68229475579244
5100.0,244.08,358.08,274.01,359.1477495687193
5250.0,245.63,360.54,275.81,361.6132043816461
5400.0,247.21,362.9,277.62,363.96811098904186
5550.0,248.8,365.03,279.42,366.1019211853755
5700.0,250.41,367.16,281.21,368.2357313817091
5850.0,252.02,369.29,283.0,370.3695415780428
6000.0,253.66,371.42,284.79,372.5033517743765
6150.0,255.3,373.55,286.59,374.6371619707101
6300.0,256.95,375.68,288.39,376.77097216704374
6450.0,258.62,377.66,290.19,378.750251577184
6600.0,260.29,379.56,291.97,380.6522655942275
6750.0,261.97,381.47,293.75,382.554279611271
6900.0,263.66,383.37,295.52,384.4562936283145
7050.0,265.36,385.27,297.3,386.35830764535797
7200.0,267.07,387.17,299.08,388.2603216624015
7350.0,268.78,389.07,300.85,390.162335679445
7500.0,270.49,390.8,302.62,391.8909852111929
7650.0,272.22,392.54,304.37,393.61963474294083
7800.0,273.94,394.27,306.12,395.34828427468875
7950.0,275.67,396.0,307.87,397.0769338064366
8100.0,277.4,397.73,309.62,398.80558333818453
8250.0,279.14,399.46,311.36,400.53423286993245
8400.0,280.87,401.16,313.11,402.23413263754037
8550.0,282.58,402.84,314.8,403.87653287686817
8700.0,284.23,369.88,313.21,369.9413646415442
8850.0,285.89,358.57,312.18,358.65062043918005
9000.0,287.53,349.24,311.25,349.2447069011539
9150.0,289.15,342.3,310.37,342.33716790749304
9300.0,290.7,336.68,309.64,336.67881618601484
9450.0,292.17,331.06,308.89,331.0204644645366
9600.0,293.53,325.45,308.11,325.3621127430584
9750.0,294.77,319.84,307.28,319.70376102158014
9900.0,295.88,316.06,306.54,315.9442897355643
10050.0,296.88,312.32,305.83,312.1848184495486
10200.0,297.75,308.58,305.11,308.42534716353276
10350.0,298.52,304.85,304.37,304.66587587751695
10500.0,299.19,301.12,303.61,300.9064045915012
10650.0,299.76,297.39,302.82,297.1469333054854
10800.0,300.24,293.94,302.01,293.6857672098444
10950.0,300.63,291.09,301.25,290.82121149495305
11100.0,300.95,288.24,300.48,287.9566557800617
11250.0,301.19,285.4,299.69,285.0921000651703
11400.0,301.36,282.55,298.89,282.22754435027895
11550.0,301.47,279.71,298.07,279.3629886353876
11700.0,301.51,276.87,297.22,276.4984329204962
11850.0,301.5,274.33,296.37,273.95170792763656
12000.0,301.43,271.95,295.53,271.56389829579274
12150.0,301.32,269.58,294.67,269.176088663949
12300.0,301.15,267.22,293.8,266.78827903210515
12450.0,300.94,264.84,292.88,264.40046940026133
12600.0,300.68,262.47,291.96,262.01265976841756
12750.0,300.39,260.1,291.02,259.62485013657374
12900.0,300.05,258.02,290.08,257.54360173449203
13050.0,299.67,255.95,289.14,255.4623533324103
13200.0,299.26,253.88,288.2,253.38110493032858
13350.0,298.81,251.81,287.24,251.29985652824686
13500.0,298.33,249.74,286.26,249.21860812616512
13650.0,297.81,247.67,285.27,247.1373597240834
13800.0,297.27,245.65,284.27,245.11313482962845
13950.0,296.7,243.75,283.27,243.20295695042697
14100.0,296.1,241.85,282.27,241.2927790712255
14250.0,295.48,239.95,281.25,239.38260119202405
14400.0,294.83,238.14,280.22,237.56573405508198
14550.0,294.16,236.33,279.19,235.74886691813992
14700.0,293.46,234.52,278.15,233.93199978119785
14850.0,292.75,232.76,277.11,232.1696248137152
15000.0,292.01,231.04,276.06,230.43449593096227
15150.0,291.25,229.31,275.0,228.69936704820933
15300.0,290.48,227.6,273.94,226.98723311441128
15450.0,289.69,225.94,272.87,225.32108907852304
15600.0,288.88,224.28,271.8,223.6549450426348
15750.0,288.05,222.65,270.71,222.0
