Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,1.0,1.0,1.0,1.0
150.0,1.0,1.0,1.0,1.0
300.0,1.0,1.0,1.0,1.0
450.0,1.0,1.0,1.0,1.0
600.0,1.0,1.0,1.0,1.0
750.0,1.0,1.0,1.0,1.0
900.0,1.0,1.0,1.0,1.0
1050.0,1.0,1.0,1.0,1.0
1200.0,1.0,1.0,1.0,1.0
1350.0,1.0,1.0,1.0,1.0
1500.0,1.0,104.0,7.6736,104.0
1650.0,1.0,153.33,14.636,153.33333333333334
1800.0,1.0,188.33,20.611,188.33333333333334
1950.0,1.0003,207.0,25.772,207.0
2100.0,1.0028,217.5,29.932,217.5
2250.0,1.0131,228.0,33.726,228.0
2400.0,1.0422,241.5,37.48,241.5
2550.0,1.1049,261.0,41.598,261.0
2700.0,1.2171,280.5,45.859,280.5
2850.0,1.3934,300.0,50.259,300.0
3000.0,1.6455,306.0,54.047,306.0
3150.0,1.9815,312.0,57.495,312.0
3300.0,2.4064,318.0,60.781,318.0
3450.0,2.923,321.0,63.829,321.0
3600.0,3.5326,322.5,66.564,322.5
3750.0,4.2349,324.0,69.162,324.0
3900.0,5.0286,325.5,71.615,325.5
4050.0,5.9113,327.0,73.969,327.0
4200.0,6.8794,328.5,76.272,328.5
4350.0,7.9285,330.0,78.483,330.0
4500.0,9.0534,333.0,80.708,333.0
4650.0,10.249,336.0,82.949,336.0
4800.0,11.508,339.0,85.177,339.0
4950.0,12.826,342.0,87.37,342.0
5100.0,14.197,345.0,89.545,345.0
5250.0,15.615,348.0,91.735,348.0
5400.0,17.075,352.5,93.946,352.5
5550.0,18.572,360.0,96.401,360.0
5700.0,20.103,367.5,98.962,367.5
5850.0,21.663,375.0,101.6,375.0
6000.0,23.248,382.5,104.29,382.5
6150.0,24.857,390.0,107.03,390.0
6300.0,26.486,397.5,109.82,397.5
6450.0,28.133,400.5,112.45,400.5
6600.0,29.797,401.25,114.79,401.25
6750.0,31.477,402.0,117.0,402.0
6900.0,33.172,402.75,119.16,402.75
7050.0,34.883,403.5,121.24,403.5
7200.0,36.609,404.25,123.27,404.25
7350.0,38.351,405.0,125.25,405.0
7500.0,40.108,405.75,127.22,405.75
7650.0,41.88,406.5,129.14,406.5
7800.0,43.665,407.25,131.03,407.25
7950.0,45.463,408.0,132.89,408.0
8100.0,47.271,408.75,134.72,408.75
8250.0,49.088,409.5,136.57,409.5
8400.0,50.914,410.5,138.39,410.5
8550.0,52.746,412.0,140.23,412.0
8700.0,54.582,315.0,135.82,315.0
8850.0,56.421,308.33,134.42,308.3333333333333
9000.0,58.259,305.83,133.92,305.8333333333333
9150.0,60.097,301.43,133.66,301.42857142857144
9300.0,61.931,296.07,133.44,296.07142857142856
9450.0,63.758,290.71,133.25,290.7142857142857
9600.0,65.576,285.36,133.07,285.35714285714283
9750.0,67.378,280.0,132.91,280.0
9900.0,69.158,278.5,132.94,278.5
10050.0,70.912,277.0,133.1,277.0
10200.0,72.635,275.5,133.32,275.5
10350.0,74.324,274.0,133.58,274.0
10500.0,75.975,272.5,133.87,272.5
10650.0,77.587,271.0,134.19,271.0
10800.0,79.159,269.5,134.53,269.5
10950.0,80.691,268.0,134.89,268.0
11100.0,82.184,266.5,135.25,266.5
11250.0,83.637,265.0,135.62,265.0
11400.0,85.054,263.5,135.99,263.5
11550.0,86.433,262.0,136.37,262.0
11700.0,87.775,260.5,136.75,260.5
11850.0,89.082,259.0,137.13,259.0
12000.0,90.356,257.5,137.51,257.5
12150.0,91.599,256.0,137.89,256.0
12300.0,92.814,254.5,138.26,254.5
12450.0,94.001,253.0,138.63,253.0
12600.0,95.162,251.5,139.0,251.5
12750.0,96.295,250.0,139.36,250.0
12900.0,97.4,242.5,139.4,242.5
13050.0,98.48,235.0,139.23,235.0
13200.0,99.534,227.5,138.93,227.5
13350.0,100.56,220.0,138.54,220.0
13500.0,101.57,212.5,138.05,212.5
13650.0,102.56,205.0,137.49,205.0
13800.0,103.52,200.0,136.95,200.0
13950.0,104.47,200.0,136.76,200.0
14100.0,105.4,200.0,136.7,200.0
14250.0,106.3,200.0,136.74,200.0
14400.0,107.19,170.0,135.21,170.0
14550.0,108.05,140.0,132.65,140.0
14700.0,108.88,110.0,129.35,110.0
14850.0,109.7,94.0,126.17,94.0
15000.0,110.49,85.0,123.65,85.0
15150.0,111.26,76.0,121.29,76.0
15300.0,112.0,67.778,119.02,67.77777777777777
15450.0,112.71,61.111,116.92,61.111111111111114
15600.0,113.39,54.444,114.89,54.44444444444444
15750.0,114.03,25.0,111.97,25.0
