Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,500.0,500.0,500.0,500.0
150.0,500.0,500.0,500.0,500.0
300.0,500.0,500.0,500.0,500.0
450.0,500.0,500.0,500.0,500.0
600.0,500.0,500.0,500.0,500.0
750.0,500.0,500.0,500.0,500.0
900.0,500.0,500.0,500.0,500.0
1050.0,500.0,500.0,500.0,500.0
1200.0,500.0,500.0,500.0,500.0
1350.0,500.0,500.0,500.0,500.0
1500.0,500.0,505.92,500.36,506.0
1650.0,500.0,507.61,500.63,507.6666666666667
1800.0,500.0,508.61,500.86,508.6666666666667
1950.0,500.0,509.35,501.06,509.4
2100.0,500.0,509.95,501.24,510.0
2250.0,500.0,510.55,501.41,510.6
2400.0,500.0,511.15,501.58,511.2
2550.0,500.0,511.75,501.75,511.8
2700.0,500.0,512.35,501.92,512.4
2850.0,500.0,512.95,502.09,513.0
3000.0,500.0,513.55,502.26,513.6
3150.0,500.01,514.15,502.44,514.2
3300.0,500.01,514.75,502.61,514.8
3450.0,500.02,515.15,502.78,515.2
3600.0,500.03,515.45,502.93,515.5
3750.0,500.04,515.75,503.08,515.8
3900.0,500.05,516.05,503.23,516.1
4050.0,500.07,516.35,503.37,516.4
4200.0,500.09,516.65,503.51,516.7
4350.0,500.11,516.95,503.65,517.0
4500.0,500.13,517.69,503.81,517.75
4650.0,500.16,518.44,503.99,518.5
4800.0,500.19,519.19,504.18,519.25
4950.0,500.22,519.94,504.37,520.0
5100.0,500.26,520.68,504.57,520.75
5250.0,500.3,521.43,504.78,521.5
5400.0,500.34,522.18,504.98,522.25
5550.0,500.38,522.93,505.2,523.0
5700.0,500.42,523.68,505.42,523.75
5850.0,500.47,524.43,505.64,524.5
6000.0,500.52,525.18,505.86,525.25
6150.0,500.58,525.92,506.09,526.0
6300.0,500.63,526.67,506.32,526.75
6450.0,500.69,527.42,506.56,527.5
6600.0,500.75,528.17,506.8,528.25
6750.0,500.81,528.92,507.04,529.0
6900.0,500.88,529.67,507.29,529.75
7050.0,500.95,530.42,507.54,530.5
7200.0,501.02,531.16,507.79,531.25
7350.0,501.09,531.91,508.04,532.0
7500.0,501.17,532.66,508.3,532.75
7650.0,501.25,533.41,508.56,533.5
7800.0,501.33,534.16,508.82,534.25
7950.0,501.41,534.91,509.09,535.0
8100.0,501.5,535.66,509.36,535.75
8250.0,501.59,536.4,509.63,536.5
8400.0,501.68,539.31,509.98,539.5
8550.0,501.78,546.76,510.72,547.0
8700.0,501.88,597.95,514.61,598.5
8850.0,501.98,598.64,516.45,599.0
9000.0,502.09,597.2,517.69,597.5
9150.0,502.2,595.32,518.64,595.5714285714286
9300.0,502.31,593.2,519.39,593.4285714285714
9450.0,502.42,591.08,520.01,591.2857142857143
9600.0,502.54,588.96,520.53,589.1428571428571
9750.0,502.66,586.83,520.96,587.0
9900.0,502.79,585.34,521.36,585.5
10050.0,502.93,583.85,521.72,584.0
10200.0,503.08,582.36,522.04,582.5
10350.0,503.25,580.86,522.32,581.0
10500.0,503.42,579.37,522.58,579.5
10650.0,503.61,577.88,522.8,578.0
10800.0,503.81,575.91,522.97,576.0
10950.0,504.03,572.93,523.04,573.0
11100.0,504.26,569.94,523.04,570.0
11250.0,504.5,566.95,523.0,567.0
11400.0,504.75,563.96,522.91,564.0
11550.0,505.02,560.97,522.78,561.0
11700.0,505.29,557.99,522.62,558.0
11850.0,505.57,555.97,522.47,556.0
12000.0,505.86,554.47,522.36,554.5
12150.0,506.16,552.97,522.26,553.0
12300.0,506.46,551.47,522.15,551.5
12450.0,506.76,549.98,522.04,550.0
12600.0,507.07,548.48,521.93,548.5
12750.0,507.38,546.98,521.81,547.0
12900.0,507.68,545.49,521.68,545.5
13050.0,507.99,543.99,521.54,544.0
13200.0,508.3,542.5,521.4,542.5
13350.0,508.6,541.0,521.25,541.0
13500.0,508.9,539.5,521.09,539.5
13650.0,509.19,538.01,520.92,538.0
13800.0,509.48,536.51,520.75,536.5
13950.0,509.77,535.01,520.56,535.0
14100.0,510.05,533.6,520.37,533.5
14250.0,510.32,532.27,520.18,532.0
14400.0,510.59,531.02,519.97,530.5
14550.0,510.85,529.84,519.76,529.0
14700.0,511.1,528.74,519.54,527.5
14850.0,511.35,527.68,519.29,525.6
15000.0,511.59,526.61,519.01,523.5
15150.0,511.82,525.59,518.71,521.4
15300.0,512.04,524.63,518.39,519.4444444444445
15450.0,512.26,523.75,518.09,517.7777777777778
15600.0,512.47,522.93,517.78,516.1111111111111
15750.0,505.47,522.18,517.13,505.0
