Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,104.788189350054,104.788189350054,104.788189350054,104.788189350054
150.0,104.788189350054,104.788189350054,104.788189350054,104.788189350054
300.0,104.788189350054,104.788189350054,104.788189350054,104.788189350054
450.0,104.788189350054,104.788189350054,104.788189350054,104.788189350054
600.0,104.788189350054,104.788189350054,104.788189350054,104.788189350054
750.0,104.788189350054,104.788189350054,104.788189350054,104.788189350054
900.0,104.788189350054,104.788189350054,104.788189350054,104.788189350054
1050.0,104.788189350054,104.788189350054,104.788189350054,104.788189350054
1200.0,104.788189350054,104.788189350054,104.788189350054,104.788189350054
1350.0,104.788189350054,104.788189350054,104.788189350054,104.788189350054
1500.0,104.79,122.08,106.43,122.77259287566376
1650.0,104.79,141.12,109.27,142.16749427864
1800.0,104.8,160.53,112.87,161.82547157966624
1950.0,104.87,179.09,116.93,180.599102799426
2100.0,105.06,197.3,121.35,198.98096024948777
2250.0,105.43,213.42,125.89,215.188538377353
2400.0,106.01,229.6,130.59,231.58923521463424
2550.0,106.86,248.39,135.73,250.550448792944
2700.0,107.96,268.4,141.33,270.80521060931903
2850.0,109.34,288.36,147.26,290.9018560634985
3000.0,110.98,302.22,153.07,304.49407709967903
3150.0,112.9,303.17,157.49,305.235565662057
3300.0,115.09,301.89,161.15,303.754606597761
3450.0,117.56,303.04,164.55,304.9104016792925
3600.0,120.26,304.58,167.89,306.35660522310377
3750.0,123.15,304.05,170.89,305.746871545647
3900.0,126.15,305.53,173.86,307.2486138677985
4050.0,129.24,304.44,176.61,305.999932947187
4200.0,132.38,302.34,179.01,303.8382948030348
4350.0,135.43,301.18,181.24,302.601165454564
4500.0,138.43,299.92,183.32,301.284066583615
4650.0,141.41,301.4,185.52,302.866351448301
4800.0,144.35,303.78,187.94,305.22335643612575
4950.0,147.23,304.8,190.27,306.230417934593
5100.0,150.07,302.81,192.31,304.09832199742476
5250.0,152.87,300.83,194.16,302.057104819001
5400.0,155.62,299.83,195.94,301.07788269628327
5550.0,158.33,300.87,197.9,302.131771926233
5700.0,160.99,300.26,199.76,301.45488328710576
5850.0,163.59,300.53,201.6,301.7386480805005
6000.0,166.15,301.36,203.5,302.56620209320675
6150.0,168.65,302.32,205.42,303.520681112014
6300.0,171.1,302.87,207.31,304.04302672856727
6450.0,173.51,302.81,209.13,303.93826842979297
6600.0,175.87,303.33,210.9,304.495289391334
6750.0,178.19,305.81,212.87,307.002972788833
6900.0,180.32,303.83,214.49,304.859055847375
7050.0,182.41,304.73,216.1,305.846698931638
7200.0,184.47,305.9,217.86,306.9371539434345
7350.0,186.51,304.13,219.31,305.101672784577
7500.0,188.53,305.96,220.92,307.021581835194
7650.0,190.53,303.92,222.35,304.79360390128704
7800.0,192.5,301.85,223.47,302.79648682060827
7950.0,194.44,304.41,224.99,305.40897843091
8100.0,196.35,302.24,226.25,303.0866320377745
8250.0,198.24,302.91,227.53,303.843490948355
8400.0,200.08,304.5,229.02,305.421129991589
8550.0,201.89,304.67,230.4,305.561123996414
8700.0,203.67,270.09,228.79,269.5856886386855
8850.0,205.36,246.83,226.04,246.359765199685
9000.0,207.0,231.02,223.56,230.457683388973
9150.0,208.58,217.14,221.08,216.45377291611
9300.0,210.03,201.72,218.26,200.846462843191
9450.0,211.32,183.69,214.99,182.533196071313
9600.0,212.41,166.0,211.2,164.73892489826875
9750.0,213.27,152.04,207.51,150.688601621851
9900.0,213.89,134.98,203.47,133.39080944994475
10050.0,214.27,115.72,198.84,113.83930062026201
10200.0,214.37,102.76,194.12,101.2446328610745
10350.0,214.21,106.03,191.31,104.817363900654
10500.0,213.77,104.76,188.85,103.5249681422895
10650.0,213.05,106.26,186.79,105.21104975460949
10800.0,212.09,106.64,185.08,105.4982495790465
10950.0,210.92,101.24,182.84,100.009208457033
11100.0,209.6,103.74,181.15,102.77699706971251
11250.0,208.16,104.51,179.69,103.547192796231
11400.0,206.64,104.41,178.2,103.46792697095026
11550.0,205.06,104.6,176.8,103.687330928232
11700.0,203.45,106.36,175.6,105.54279110370976
11850.0,201.82,105.29,174.31,104.37052614318151
12000.0,200.18,104.33,172.87,103.504309432642
12150.0,198.54,107.01,171.84,106.277914358086
12300.0,196.92,105.25,170.59,104.39762151178526
12450.0,195.28,102.95,169.11,102.028479547919
12600.0,193.64,101.43,167.57,100.56632523098176
12750.0,192.02,102.22,166.3,101.406995325468
12900.0,190.42,105.36,165.36,104.68229703171376
13050.0,188.83,105.54,164.4,104.780976105426
13200.0,187.26,103.95,163.18,103.14635835866875
13350.0,185.71,102.04,161.84,101.221769603506
13500.0,184.19,103.07,160.72,102.35219004317125
13650.0,182.7,104.46,159.76,103.79405528327
13800.0,181.23,104.75,158.84,104.02782579353375
13950.0,179.78,102.3,157.61,101.533962043694
14100.0,178.36,105.39,156.77,104.8140515507855
14250.0,176.97,104.63,155.88,103.9251057531805
14400.0,175.6,103.88,154.76,103.2919462740075
14550.0,174.26,107.82,154.19,107.339394736395
14700.0,172.94,104.16,153.13,103.44921820421474
14850.0,171.66,104.69,152.13,104.13824641323001
15000.0,170.4,105.6,151.41,104.970324053312
15150.0,169.17,102.21,150.24,101.509295814332
15300.0,167.96,102.7,149.26,102.10231299197974
15450.0,166.77,102.14,148.31,101.5144465470105
15600.0,165.61,102.4,147.37,101.882640564463
15750.0,164.46,105.77,146.85,105.343839129376
