Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,455.0,455.0,455.0,455.0
150.0,455.0,455.0,455.0,455.0
300.0,455.0,455.0,455.0,455.0
450.0,455.0,455.0,455.0,455.0
600.0,455.0,455.0,455.0,455.0
750.0,455.0,455.0,455.0,455.0
900.0,455.0,455.0,455.0,455.0
1050.0,455.0,455.0,455.0,455.0
1200.0,455.0,455.0,455.0,455.0
1350.0,455.0,455.0,455.0,455.0
1500.0,453.03,455.0,454.73,452.2083333333333
1650.0,450.87,454.98,454.27,449.4166666666667
1800.0,448.68,454.9,453.7,446.625
1950.0,446.46,454.74,453.04,443.8333333333333
2100.0,444.22,454.48,452.29,441.0416666666667
2250.0,441.97,454.14,451.46,438.25
2400.0,439.7,453.7,450.57,435.4583333333333
2550.0,437.42,453.17,449.6,432.6666666666667
2700.0,435.14,452.56,448.56,429.875
2850.0,432.84,451.87,447.47,427.0833333333333
3000.0,430.53,451.1,446.31,424.2916666666667
3150.0,428.21,450.26,445.09,421.5
3300.0,425.88,449.34,443.82,418.7083333333333
3450.0,423.55,448.36,442.5,415.9166666666667
3600.0,421.2,447.31,441.12,413.125
3750.0,418.85,446.2,439.7,410.3333333333333
3900.0,416.49,445.03,438.23,407.5416666666667
4050.0,414.12,443.8,436.71,404.75
4200.0,411.74,442.51,435.15,401.9583333333333
4350.0,409.36,441.18,433.55,399.1666666666667
4500.0,406.97,439.79,431.91,396.375
4650.0,404.57,438.35,430.23,393.5833333333333
4800.0,402.17,436.87,428.51,390.7916666666667
4950.0,399.76,435.34,426.76,388.0
5100.0,397.35,433.77,424.98,385.20833333333337
5250.0,394.93,432.16,423.17,382.4166666666667
5400.0,392.5,430.51,421.32,379.625
5550.0,390.07,428.82,419.45,376.83333333333337
5700.0,387.64,427.1,417.54,374.0416666666667
5850.0,385.2,425.34,415.62,371.25
6000.0,382.76,423.55,413.66,368.45833333333337
6150.0,380.31,421.73,411.68,365.6666666666667
6300.0,377.86,419.88,409.68,362.875
6450.0,375.4,418.0,407.65,360.08333333333337
6600.0,372.95,416.09,405.6,357.2916666666667
6750.0,370.48,414.15,403.54,354.5
6900.0,368.02,412.19,401.45,351.70833333333337
7050.0,365.55,410.2,399.34,348.9166666666667
7200.0,363.08,408.2,397.21,346.125
7350.0,360.6,406.16,395.07,343.33333333333337
7500.0,358.13,404.11,392.91,340.5416666666667
7650.0,355.65,402.04,390.74,337.75
7800.0,353.16,399.95,388.54,334.95833333333337
7950.0,350.68,397.83,386.34,332.1666666666667
8100.0,348.19,395.7,384.12,329.375
8250.0,345.7,393.56,381.88,326.58333333333337
8400.0,343.21,391.39,379.64,323.7916666666667
8550.0,340.71,389.21,377.38,321.0
8700.0,338.22,387.02,375.11,318.20833333333337
8850.0,335.72,384.81,372.83,315.4166666666667
9000.0,333.22,382.59,370.53,312.625
9150.0,330.72,380.35,368.23,309.83333333333337
9300.0,328.22,378.1,365.92,307.0416666666667
9450.0,325.71,375.84,363.59,304.25
9600.0,323.2,373.56,361.26,301.45833333333337
9750.0,320.7,371.28,358.92,298.6666666666667
9900.0,318.19,368.98,356.57,295.875
10050.0,315.68,366.68,354.21,293.08333333333337
10200.0,313.16,364.36,351.85,290.2916666666667
10350.0,310.65,362.04,349.47,287.5
10500.0,308.14,359.7,347.09,284.70833333333337
10650.0,305.62,357.36,344.71,281.9166666666667
10800.0,303.1,355.01,342.31,279.125
10950.0,300.59,352.65,339.92,276.33333333333337
11100.0,298.07,350.28,337.51,273.5416666666667
11250.0,295.55,347.91,335.1,270.75
11400.0,293.03,345.53,332.68,267.95833333333337
11550.0,290.51,343.14,330.26,265.1666666666667
11700.0,287.98,340.74,327.83,262.375
11850.0,285.46,338.34,325.4,259.58333333333337
12000.0,282.94,335.93,322.97,256.7916666666667
12150.0,280.41,333.52,320.52,254.00000000000003
12300.0,277.89,331.1,318.08,251.20833333333334
12450.0,275.36,328.68,315.63,248.41666666666669
12600.0,272.83,326.25,313.18,245.62500000000003
12750.0,270.31,323.82,310.72,242.83333333333334
12900.0,267.78,321.38,308.26,240.04166666666669
13050.0,265.25,318.94,305.8,237.25000000000003
13200.0,262.72,316.5,303.33,234.45833333333334
13350.0,260.19,314.05,300.86,231.66666666666669
13500.0,257.66,311.59,298.39,228.87500000000003
13650.0,255.13,309.13,295.91,226.08333333333334
13800.0,252.6,306.67,293.43,223.29166666666669
13950.0,250.07,304.21,290.95,220.50000000000003
14100.0,247.54,301.74,288.47,217.70833333333334
14250.0,245.0,299.27,285.98,214.91666666666669
14400.0,242.47,296.8,283.49,212.12500000000003
14550.0,239.94,294.32,281.0,209.33333333333334
14700.0,237.4,291.84,278.51,206.54166666666669
14850.0,234.87,289.36,276.01,203.75000000000003
15000.0,232.34,286.87,273.52,200.95833333333334
15150.0,229.8,284.39,271.02,198.16666666666669
15300.0,227.27,281.9,268.52,195.375
15450.0,224.73,279.41,266.01,192.58333333333337
15600.0,222.2,276.91,263.51,189.79166666666669
15750.0,219.66,274.42,261.0,187.0
