Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,420.0,420.0,420.0,420.0
150.0,420.0,420.0,420.0,420.0
300.0,420.0,420.0,420.0,420.0
450.0,420.0,420.0,420.0,420.0
600.0,420.0,420.0,420.0,420.0
750.0,420.0,420.0,420.0,420.0
900.0,420.0,420.0,420.0,420.0
1050.0,420.0,420.0,420.0,420.0
1200.0,420.0,420.0,420.0,420.0
1350.0,420.0,420.0,420.0,420.0
1500.0,420.0,415.83,419.36,415.8333333333333
1650.0,420.0,411.67,418.52,411.6666666666667
1800.0,420.0,407.5,417.57,407.5
1950.0,420.0,403.33,416.52,403.3333333333333
2100.0,419.99,399.17,415.4,399.1666666666667
2250.0,419.97,395.0,414.2,395.0
2400.0,419.94,390.83,412.95,390.8333333333333
2550.0,419.88,385.0,411.4,385.0
2700.0,419.79,378.75,409.63,378.75
2850.0,419.67,371.67,407.64,371.6666666666667
3000.0,419.51,363.33,405.29,363.3333333333333
3150.0,419.31,355.0,402.78,355.0
3300.0,419.06,344.58,399.82,344.5833333333333
3450.0,418.76,334.17,396.65,334.1666666666667
3600.0,418.39,322.5,393.09,322.5
3750.0,417.96,310.0,389.17,310.0
3900.0,417.45,297.5,385.05,297.5
4050.0,416.85,285.0,380.77,285.0
4200.0,416.16,272.5,376.23,272.5
4350.0,415.35,265.0,372.32,265.0
4500.0,414.44,258.75,368.78,258.75
4650.0,413.39,253.33,365.43,253.33333333333334
4800.0,412.22,249.17,362.37,249.16666666666666
4950.0,410.91,245.0,359.4,245.0
5100.0,409.47,242.08,356.67,242.08333333333334
5250.0,407.92,239.17,353.99,239.16666666666666
5400.0,406.27,236.5,351.34,236.5
5550.0,404.51,234.0,348.79,234.0
5700.0,402.66,231.58,346.3,231.58333333333334
5850.0,400.73,229.5,343.9,229.5
6000.0,398.74,227.42,341.55,227.41666666666666
6150.0,396.69,225.67,339.28,225.66666666666666
6300.0,394.6,224.0,337.07,224.0
6450.0,392.47,222.5,334.91,222.5
6600.0,390.31,221.25,332.84,221.25
6750.0,388.13,220.0,330.8,220.0
6900.0,385.93,219.17,328.85,219.16666666666666
7050.0,383.73,218.33,326.95,218.33333333333334
7200.0,381.51,217.5,325.08,217.5
7350.0,379.3,216.67,323.23,216.66666666666666
7500.0,377.08,215.83,321.41,215.83333333333334
7650.0,374.87,215.0,319.62,215.0
7800.0,372.67,214.17,317.84,214.16666666666666
7950.0,370.47,213.33,316.08,213.33333333333334
8100.0,368.24,212.5,314.31,212.5
8250.0,365.98,211.83,312.55,211.83333333333334
8400.0,363.72,211.42,310.85,211.41666666666666
8550.0,361.47,211.0,309.18,211.0
8700.0,359.24,210.58,307.54,210.58333333333334
8850.0,357.03,210.17,305.92,210.16666666666666
9000.0,354.85,209.75,304.32,209.75
9150.0,352.68,209.33,302.74,209.33333333333334
9300.0,350.53,208.92,301.19,208.91666666666666
9450.0,348.41,208.5,299.65,208.5
9600.0,346.31,208.08,298.13,208.08333333333334
9750.0,344.24,207.67,296.63,207.66666666666666
9900.0,342.19,207.25,295.14,207.25
10050.0,340.16,206.83,293.67,206.83333333333334
10200.0,338.15,206.42,292.22,206.41666666666666
10350.0,336.17,206.0,290.79,206.0
10500.0,334.22,205.58,289.37,205.58333333333334
10650.0,332.28,205.17,287.97,205.16666666666666
10800.0,330.37,204.75,286.58,204.75
10950.0,328.48,204.33,285.21,204.33333333333334
11100.0,326.62,203.92,283.85,203.91666666666666
11250.0,324.78,203.5,282.51,203.5
11400.0,322.88,203.08,281.17,203.08333333333334
11550.0,320.98,202.67,279.83,202.66666666666666
11700.0,319.11,202.25,278.5,202.25
11850.0,317.26,201.83,277.17,201.83333333333334
12000.0,315.44,201.42,275.86,201.41666666666666
12150.0,313.65,201.0,274.56,201.0
12300.0,311.88,200.58,273.28,200.58333333333334
12450.0,310.14,200.17,272.01,200.16666666666666
12600.0,308.41,199.75,270.75,199.75
12750.0,306.71,199.33,269.5,199.33333333333334
12900.0,305.04,198.92,268.27,198.91666666666666
13050.0,303.38,198.5,267.05,198.5
13200.0,301.74,198.08,265.84,198.08333333333334
13350.0,300.12,197.67,264.64,197.66666666666666
13500.0,298.53,197.25,263.46,197.25
13650.0,296.95,196.83,262.29,196.83333333333334
13800.0,295.39,196.42,261.13,196.41666666666666
13950.0,293.85,196.0,259.99,196.0
14100.0,292.33,195.58,258.85,195.58333333333334
14250.0,290.82,195.17,257.73,195.16666666666666
14400.0,289.34,194.75,256.61,194.75
14550.0,287.87,194.33,255.51,194.33333333333334
14700.0,286.42,193.92,254.42,193.91666666666666
14850.0,284.98,193.5,253.34,193.5
15000.0,283.56,193.08,252.27,193.08333333333334
15150.0,282.16,192.67,251.22,192.66666666666666
15300.0,280.77,192.25,250.17,192.25
15450.0,279.4,191.83,249.13,191.83333333333334
15600.0,277.99,191.42,248.09,191.41666666666666
15750.0,276.58,191.0,247.05,191.0
