File,MAE_T_inner,MAE_T_outer,MAE_T_avg,MAE_overall
(test)Case (1).csv,0.4478,0.8084,2.0194,1.0919
(test)Case (10).csv,1.1921,2.9567,1.5413,1.8967
(test)Case (11).csv,0.9096,0.5047,3.3984,1.6042
(test)Case (12).csv,0.6029,0.8119,3.1596,1.5248
(test)Case (13).csv,1.0810,1.4221,3.6973,2.0668
(test)Case (14).csv,0.8242,0.9152,2.9812,1.5735
(test)Case (15).csv,0.9517,1.0383,2.7644,1.5848
(test)Case (16).csv,0.7466,0.8879,2.8739,1.5028
(test)Case (17).csv,1.1936,4.3448,2.9021,2.8135
(test)Case (18).csv,0.5685,0.8937,3.1964,1.5529
(test)Case (19).csv,0.7382,1.3614,1.2570,1.1188
(test)Case (2).csv,1.0592,2.1407,1.5860,1.5953
(test)Case (20).csv,1.2694,1.0831,3.3199,1.8908
(test)Case (21).csv,0.8364,0.8255,2.8842,1.5154
(test)Case (22).csv,0.8101,1.0094,3.8764,1.8986
(test)Case (23).csv,0.8283,1.5269,1.4051,1.2534
(test)Case (24).csv,2.7472,10.3625,3.3641,5.4913
(test)Case (25).csv,0.6957,0.6665,2.7753,1.3792
(test)Case (26).csv,0.6203,0.8542,1.3184,0.9310
(test)Case (27).csv,0.7215,0.6176,1.5799,0.9730
(test)Case (28).csv,1.4535,2.2682,2.1079,1.9432
(test)Case (29).csv,2.3965,2.9412,3.1357,2.8244
(test)Case (3).csv,0.4843,1.2604,1.0183,0.9210
(test)Case (30).csv,1.6075,0.7988,3.3384,1.9149
(test)Case (31).csv,1.5775,1.7795,2.4404,1.9325
(test)Case (32).csv,2.2328,1.6761,2.4572,2.1220
(test)Case (33).csv,2.2097,2.8968,2.8774,2.6613
(test)Case (34).csv,1.0382,1.8384,2.4228,1.7664
(test)Case (35).csv,1.3308,2.4140,2.8034,2.1827
(test)Case (36).csv,2.3388,1.9994,2.9229,2.4204
(test)Case (37).csv,1.3747,1.3783,2.1836,1.6455
(test)Case (38).csv,1.2574,1.4521,2.3388,1.6827
(test)Case (39).csv,2.6705,1.7153,2.4365,2.2741
(test)Case (4).csv,1.5980,2.3718,1.6999,1.8899
(test)Case (40).csv,3.8486,2.0994,2.8368,2.9283
(test)Case (5).csv,0.8807,1.9655,3.9626,2.2696
(test)Case (6).csv,0.6851,1.1439,3.6015,1.8102
(test)Case (7).csv,0.5066,1.1433,3.2239,1.6246
(test)Case (8).csv,0.8374,2.0465,1.8579,1.5806
(test)Case (9).csv,0.3744,1.0406,2.2192,1.2114
new(test)Case (1).csv,0.8436,1.3372,2.7698,1.6502
new(test)Case (10).csv,37.5655,32.3806,7.0058,25.6506
new(test)Case (2).csv,0.7776,2.8706,5.0818,2.9100
new(test)Case (3).csv,1.5908,3.6813,5.2380,3.5034
new(test)Case (4).csv,1.0267,2.1183,4.0678,2.4043
new(test)Case (5).csv,1.2605,1.3563,1.4239,1.3469
new(test)Case (6).csv,1.9527,1.9199,3.9857,2.6194
new(test)Case (7).csv,1.7651,2.6783,3.5172,2.6535
new(test)Case (8).csv,2.1611,2.9284,4.7966,3.2953
new(test)Case (9).csv,25.1089,22.2080,4.6140,17.3103
AVERAGE,2.4720,2.8948,2.9257,2.7642
