File,MAE_T_inner,MAE_T_outer,MAE_T_avg,MAE_overall
(test)Case (1).csv,0.7152,0.3610,1.8908,0.9890
(test)Case (10).csv,0.8387,0.5925,2.2294,1.2202
(test)Case (11).csv,0.3010,1.0147,3.8489,1.7215
(test)Case (12).csv,0.3355,0.4933,3.0413,1.2900
(test)Case (13).csv,1.0551,1.3973,3.8032,2.0852
(test)Case (14).csv,0.3207,0.8845,3.1707,1.4586
(test)Case (15).csv,0.5454,0.9849,3.6195,1.7166
(test)Case (16).csv,0.5210,0.6056,2.9565,1.3610
(test)Case (17).csv,0.5675,0.7999,3.7597,1.7090
(test)Case (18).csv,0.3550,0.4531,2.9494,1.2525
(test)Case (19).csv,0.9715,1.0313,1.2066,1.0698
(test)Case (2).csv,0.8897,1.2276,2.0813,1.3995
(test)Case (20).csv,0.5405,1.0211,4.7395,2.1004
(test)Case (21).csv,0.4787,0.9287,3.2070,1.5381
(test)Case (22).csv,0.4551,0.8112,3.7667,1.6776
(test)Case (23).csv,0.9047,0.9235,1.4514,1.0932
(test)Case (24).csv,1.9580,12.4599,5.8837,6.7672
(test)Case (25).csv,0.7173,0.6437,2.6322,1.3311
(test)Case (26).csv,0.8695,2.4485,0.8237,1.3806
(test)Case (27).csv,1.1701,0.7350,0.9967,0.9673
(test)Case (28).csv,1.1975,0.5453,2.3787,1.3738
(test)Case (29).csv,2.1590,0.6861,3.5577,2.1343
(test)Case (3).csv,0.9817,0.8583,0.8055,0.8819
(test)Case (30).csv,1.5842,0.9704,3.5176,2.0241
(test)Case (31).csv,1.3777,1.0363,3.3111,1.9084
(test)Case (32).csv,1.7874,0.6272,2.8743,1.7630
(test)Case (33).csv,1.2910,1.8921,3.0276,2.0702
(test)Case (34).csv,0.8864,0.9937,2.2953,1.3918
(test)Case (35).csv,0.9095,2.0774,2.8516,1.9461
(test)Case (36).csv,2.0194,1.1068,2.8389,1.9884
(test)Case (37).csv,1.4600,0.5293,1.9931,1.3274
(test)Case (38).csv,1.2899,0.8005,2.8566,1.6490
(test)Case (39).csv,2.9562,1.0275,2.1514,2.0450
(test)Case (4).csv,1.6460,0.7688,1.9807,1.4652
(test)Case (40).csv,4.2676,0.8217,2.3551,2.4815
(test)Case (5).csv,1.4122,2.2322,2.5970,2.0805
(test)Case (6).csv,0.9094,1.7636,2.6154,1.7628
(test)Case (7).csv,0.7822,2.1730,2.0084,1.6545
(test)Case (8).csv,0.6387,1.3304,2.4539,1.4743
(test)Case (9).csv,0.7020,0.7309,2.1929,1.2086
new(test)Case (1).csv,0.5808,1.7282,2.8648,1.7246
new(test)Case (10).csv,43.0431,42.2363,4.9485,30.0760
new(test)Case (2).csv,0.7442,1.0129,3.4936,1.7502
new(test)Case (3).csv,1.3512,3.0424,1.8987,2.0974
new(test)Case (4).csv,0.3220,0.7319,2.5975,1.2171
new(test)Case (5).csv,0.4521,2.8482,1.0916,1.4640
new(test)Case (6).csv,0.8859,1.0960,2.9333,1.6384
new(test)Case (7).csv,1.3733,2.9021,1.2822,1.8525
new(test)Case (8).csv,0.8118,3.4511,4.8911,3.0513
new(test)Case (9).csv,29.4813,29.1818,2.8042,20.4891
AVERAGE,2.4763,2.8204,2.7505,2.6824
